Building Name,ADDRESS
NATURAL RESOURCES BUILDING,607 E. PEABODY CHAMPAIGN IL
NUCLEAR PHYSICS LABORATORY,25 E. STADIUM DR. CHAMPAIGN IL
BUSEY HALL,1111 W. NEVADA URBANA IL
MECHANICAL ENGINEERING BUILDING,1206 W. GREEN URBANA IL
DAVENPORT HOUSE,807 S. WRIGHT ST. CHAMPAIGN IL
POMOLOGY GREENHOUSE-HORT FIELD LAB,1803 S. ORCHARD URBANA IL
EVANS HALL,1115 W. NEVADA URBANA IL
ROGER ADAMS LABORATORY,600 S. MATHEWS URBANA IL
NUCLEAR ENGINEERING LABORATORY,103 S. GOODWIN URBANA IL
ACTIVITIES & RECREATION CENTER,201 E. PEABODY CHAMPAIGN IL
"203 S GREGORY, URBANA",203 S. GREGORY URBANA IL
ABBOTT POWER PLANT,1117 S. OAK CHAMPAIGN IL
FSI - FIREMANSHIP TRAINING FACILITIES,11 GERTY DR. CHAMPAIGN IL
RADIO TRANSMITTER STATION,2520 S. FIRST ST. RD. CHAMPAIGN IL
NATIONAL SOYBEAN RESEARCH CENTER,1101 W. PEABODY URBANA IL
MUMFORD HOUSE,1403 W. LORADO TAFT URBANA IL
LEVIS FACULTY CENTER,919 W. ILLINOIS URBANA IL
GEOLOGICAL SURVEY LABORATORY,1116 S. OAK CHAMPAIGN IL
"810 S SIXTH, CHAMPAIGN",810 S. SIXTH CHAMPAIGN IL
COBLE HALL,801 S. WRIGHT CHAMPAIGN IL
TURNER HALL GREENHOUSES,1102 S. GOODWIN URBANA IL
NATURAL RESOURCES GARAGE,608 E. PENNSYLVANIA CHAMPAIGN IL
NATURAL HISTORY SURVEY GREENHOUSE,614 E. PENNSYLVANIA CHAMPAIGN IL
1201 W. CALIFORNIA,1201 W. CALIFORNIA URBANA IL
"STUDENT-STAFF APTS-300 S GOODWIN, U",300 S. GOODWIN URBANA IL
"STUDENT STAFF APTS #2- 1107 GREEN ST., U",1107 W. GREEN URBANA IL
BURRILL HALL,407 S. GOODWIN URBANA IL
"1202 W GREEN, URBANA",1202 W. GREEN URBANA IL
"ILLINOIS SIMULATOR LABORATORY, BECKMAN INSTITUTE",2100 S. GOODWIN URBANA IL
LINCOLN AVENUE RESIDENCE HALL,1005 S. LINCOLN URBANA IL
ALLEN RESIDENCE HALL,1005 W. GREGORY URBANA IL
"608 S MATHEWS, URBANA",608 S. MATHEWS URBANA IL
DALKEY ARCHIVE PRESS (PSSB),1805 S. WRIGHT STREET CHAMPAIGN IL
"1205 1/2 W NEVADA, URBANA",1205 1/2 W. NEVADA URBANA IL
"1205 W NEVADA, URBANA",1205 W. NEVADA URBANA IL
1205 W. CALIFORNIA,1205 W. CALIFORNIA URBANA IL
COORDINATED SCIENCE LABORATORY,1308 W. MAIN ST. URBANA IL
COMMERCE ANNEX,1407 W. LORADO TAFT URBANA IL
"1208 W SPRINGFIELD, URBANA",1208 W. SPRINGFIELD URBANA IL
"1204 W NEVADA, URBANA",1204 W. NEVADA URBANA IL
CIVIL ENGINEERING HYDROSYSTEMS LAB,205 N. MATHEWS URBANA IL
WAREHOUSE #1 - HYD ENGR LAB #1,100 BLOCK N. GREGORY URBANA IL
PERSONNEL SERVICES BUILDING,52 E. GREGORY CHAMPAIGN IL
VOLATILE CHEMICAL STORAGE BLDG,505 S. GOODWIN URBANA IL
LAW BUILDING,504 E. PENNSYLVANIA AVE. CHAMPAIGN IL
AFRICAN AMERICAN STUDIES,1201 W. NEVADA URBANA IL
BEVIER HALL,905 W. GOODWIN URBANA IL
WOHLERS HALL,1206 S. SIXTH CHAMPAIGN IL
EDUCATION BUILDING,1310 S. SIXTH ST. CHAMPAIGN IL
"1401 S MARYLAND, URBANA",1401 S. MARYLAND URBANA IL
ENGINEERING SENIOR DESIGN LAB,1013 W. WESTERN URBANA IL
PLANT SERVICES STORAGE BUILDING,1015 W. WESTERN URBANA IL
STRUCTURAL WAREHOUSE,1017 W. WESTERN URBANA IL
ANIMAL SCIENCES LABORATORY,1207 W. GREGORY URBANA IL
STATE FARM CENTER,1800 S. FIRST CHAMPAIGN IL
COLONEL WOLFE SCHOOL,403 E. HEALY CHAMPAIGN IL
"1005 W NEVADA, URBANA",1005 W. NEVADA URBANA IL
BURNSIDES RESEARCH LABORATORY,1208 W. PENNSYLVANIA URBANA IL
CENTRAL RECEIVING BUILDING,1609 S. OAK CHAMPAIGN IL
MEAT SCIENCE LABORATORY,1503 S. MARYLAND URBANA IL
FOREIGN LANGUAGES BUILDING,707 S. MATHEWS URBANA IL
AFRICAN AMERICAN CULTURE CENTER,708 S. MATHEWS URBANA IL
ENGINEERING SCIENCES BUILDING,1101 W. SPRINGFIELD URBANA IL
1009 W. NEVADA,1009 W. NEVADA URBANA IL
REHABILITATION EDUCATION CENTER,1207 S. OAK CHAMPAIGN IL
1204 W. OREGON,1204 W. OREGON URBANA IL
"MAILING CENTER-1611 S OAK, CHAMPAIGN",1611 S. OAK CHAMPAIGN IL
"ILLINI GROVE, SEWARD STALEY",905 W. PENNSYLVANIA URBANA IL
STU-STAFF AIR CONDITIONING CENTER,1109 W. GREEN URBANA IL
DANIELS HALL,1010 W. GREEN URBANA IL
NUCLEAR REACTOR LABORATORY,102 S. GOODWIN URBANA IL
WOOD ENGINEERING LABORATORY,1305 S. GOODWIN URBANA IL
1208 WEST NEVADA,1208 W. NEVADA URBANA IL
H P GAS REGULATING & REDUCING STA,1207 W. WESTERN URBANA IL
1116 W. ILLINOIS,1116 W. ILLINOIS URBANA IL
ENTOMOLOGY LABORATORY,1902 S. GRIFFITH DR. CHAMPAIGN IL
FRED TURNER STUDENT SERVICES BLDG,610 E. JOHN CHAMPAIGN IL
MEDICAL SCIENCES BUILDING,506 S. MATHEWS URBANA IL
SWANLUND ADMINISTRATION BUILDING,601 E. JOHN CHAMPAIGN IL
USDA NEMATOLOGY GREENHOUSE,1105 W. DONNER URBANA IL
"1203 W NEVADA, URBANA",1203 W. NEVADA URBANA IL
OPTICAL PHYSICS AND ENGINEERING BLDG,607 E. HEALY CHAMPAIGN IL
TURNER HALL,1102 S. GOODWIN URBANA IL
PHYSICAL PLANT SERVICE BUILDING,1501 S. OAK CHAMPAIGN IL
"1001 W NEVADA, URBANA",1001 W. NEVADA URBANA IL
1007 W. NEVADA,1007 W. NEVADA URBANA IL
GARAGE AND CAR POOL,1701 S. OAK ST. CHAMPAIGN IL
HORTICULTURE FIELD LAB STEEL BLDG,1801 S. ORCHARD URBANA IL
605 S. GOODWIN,605 S. GOODWIN URBANA IL
HYDROGEN LIQUEFIER BUILDING,1301 S. OAK CHAMPAIGN IL
"1203 W OREGON, URBANA",1203 W. OREGON URBANA IL
ILLINOIS SUSTAINABILITY TECHNOLOGY CNTR,19 E. HAZELWOOD DR. CHAMPAIGN IL
"1203 1/2 W NEVADA, URBANA",1203 1/2 W. NEVADA URBANA IL
ATMOSPHERIC SCIENCES BUILDING,105 S. GREGORY STREET URBANA IL
SPEECH AND HEARING SCIENCE,901 S. SIXTH CHAMPAIGN IL
